RiC-E03|RiC-E03 Record Set
RiC-E04|RiC-E04 Record
RiC-E05|RiC-E05 Record Part
RiC-E06|RiC-E06 Instantiation
RiC-E08|RiC-E08 Person
RiC-E10|RiC-E10 Family
RiC-E11|RiC-E11 Corporate Body
RiC-E12|RiC-E12 Position
RiC-E13|RiC-E13 Mechanism
RiC-E14|RiC-E14 Event
RiC-E15|RiC-E15 Activity|
RiC-E16|RiC-E16 Rule
RiC-E17|RiC-E17 Mandate
RiC-E18|RiC-E18 Date
RiC-E22|RiC-E22 Place
