Accord|Accord
Constitution|Constitution
Contrat|Contrat
Convention|Convention
Décision de justice|Décision de justice
Normes culturelles|Normes culturelles
Directive|Directive
Décret|Décret
Législation|Législation
Acte administratif|Acte administratif
Memorandum d’entente|Memorandum d’entente
Ordonance|Ordonance
Politique/stratégie|Politique/stratégie
Traité|Traité
Norme professionnelle|Norme professionnelle
Statuts|Statuts
Normes sociales|Normes sociales
Coutumes|Coutumes
Chartes|Chartes
Lettre de mission|Lettre de mission
Procedures|Procedures
Instructions|Instructions
Code d’éthique et de déontologie|Code d’éthique et de déontologie
Affectation de tâches|Affectation de tâches
Plan de travail|Plan de travail
Outils de gestion|Outils de gestion


