Association culturelle|Association culturelle
Organisation non governmentale|Organisation non governmentale
Parti politique|Parti politique
Service public|Service public
Entreprise publique|Entreprise publique
Association réligieuse|Association réligieuse
Organisation syndicale|Organisation syndicales
Collectivité territoriale|Collectivité territoriale
Organisation régionale|Organisation régionale
Organisation internationale|Organisation internationale
Etablissement d’enseignement|Etablissement d’enseignement
Association professionnelle|Association professionnelle
Etablissement hospitalier|Etablissement hospitalier
Recherche et innovation|Recherche et innovation
Entreprise commerciale|Entreprise commerciale
Entreprise industrielle|Entreprise industrielle
Cabinet d’expertise|Cabinet d’expertise
Entreprise agricoles|Entreprise agricole
Entreprise miniere|Entreprise miniere
