Election|Election
Formation|Formation
Session dinstance|Session dinstance
Débat|Débat
Programme radio/télé|Programme radio/télé
Conférence publique|Conférence publique
Manifestation scientifique|Manifestation scientifique
Réunion|Réunion
Catastrophe naturelle|Catastrophe naturelle
Catastrophe industrielle|Catastrophe industrielle
Accident de la circulation|Accident de la circulation
Sinistre|Sinistre
Anniversaire|Anniversaire
Déces|Déces
Naissance|Naissance
Evenement religieux|Evenement religieux
Mariage|Mariage
Inauguration|Inauguration
Prestation de serment|Prestation de serment
Passation de service|Passation de service
Evenement politique



