Afar|Afar
Abkhazian|Abkhazian
Afrikaans|Afrikaans
Akan|Akan
Albanian|Albanian
Amharic|Amharic
Arabic|Arabic
Aragonese|Aragonese
Armenian|Armenian
Assamese|Assamese
Avaric|Avaric
Avestan|Avestan
Aymara|Aymara
Azerbaijani|Azerbaijani
Bashkir|Bashkir
Bambara|Bambara
Basque|Basque
Belarusian|Belarusian
Bengali|Bengali
Bislama|Bislama
Bosnian|Bosnian
Breton|Breton
Bulgarian|Bulgarian
Burmese|Burmese
Catalan|Catalan
Chamorro|Chamorro
Chechen|Chechen
Chinese|Chinese
Church Slavic|Church Slavic
Chuvash|Chuvash
Cornish|Cornish
Corsican|Corsican
Cree|Cree
Czech|Czech
Danish|Danish
Divehi|Divehi
Dutch|Dutch
Dzongkha|Dzongkha
English|English
Esperanto|Esperanto
Estonian|Estonian
Ewe|Ewe
Faroese|Faroese
Fijian|Fijian
Finnish|Finnish
French|French
Western Frisian|Western Frisian
Fulah|Fulah
Georgian|Georgian
German|German
Gaelic|Gaelic
Irish|Irish
Galician|Galician
Manx|Manx
Greek|Greek
Guarani|Guarani
Gujarati|Gujarati
Haitian|Haitian
Hausa|Hausa
Hebrew|Hebrew
Herero|Herero
Hindi|Hindi
Hiri Motu|Hiri Motu
Croatian|Croatian
Hungarian|Hungarian
Igbo|Igbo
Icelandic|Icelandic
Ido|Ido
Sichuan Yi|Sichuan Yi
Inuktitut|Inuktitut
Indonesian|Indonesian
Inupiaq|Inupiaq
Italian|Italian
Javanese|Javanese
Japanese|Japanese
Kannada|Kannada
Kashmiri|Kashmiri
Kanuri|Kanuri
Kazakh|Kazakh
Central Khmer|Central Khmer
Kikuyu|Kikuyu
Kinyarwanda|Kinyarwanda
Kirghiz|Kirghiz
Komi|Komi
Kongo|Kongo
Korean|Korean
Kuanyama|Kuanyama
Kurdish|Kurdish
Lao|Lao
Latin|Latin
Latvian|Latvian
Limburgan|Limburgan
Lingala|Lingala
Lithuanian|Lithuanian
Luxembourgish|Luxembourgish
Luba-Katanga|Luba-Katanga
Ganda|Ganda
Macedonian|Macedonian
Marshallese|Marshallese
Malayalam|Malayalam
Maori|Maori
Marathi|Marathi
Malay|Malay
Malagasy|Malagasy
Maltese|Maltese
Mongolian|Mongolian
Nauru|Nauru
Navajo|Navajo
Ndebele|Ndebele
Ndonga|Ndonga
Nepali|Nepali
Nynorsk|Nynorsk
Chichewa|Chichewa
Ojibwa|Ojibwa
Oriya|Oriya
Oromo|Oromo
Ossetian|Ossetian
Panjabi|Panjabi
Persian|Persian
Pali|Pali
Polish|Polish
Portuguese|Portuguese
Pushto|Pushto
Quechua|Quechua
Romansh|Romansh
Romanian|Romanian
Rundi|Rundi
Russian|Russian
Sango|Sango
Sanskrit|Sanskrit
Sinhala|Sinhala
Slovak|Slovak
Slovenian|Slovenian
Northern Sami|Northern Sami
Samoan|Samoan
Shona|Shona
Sindhi|Sindhi
Somali|Somali
Sotho, Southern|Sotho, Southern
Spanish|Spanish
Sardinian|Sardinian
Serbian|Serbian
Swati|Swati
Sundanese|Sundanese
Swahili|Swahili
Swedish|Swedish
Tahitian|Tahitian
Tamil|Tamil
Tatar|Tatar
Telugu|Telugu
Tajik|Tajik
Tagalog|Tagalog
Thai|Thai
Tibetan|Tibetan
Tigrinya|Tigrinya
Tonga|Tonga
Tswana|Tswana
Tsonga|Tsonga
Turkmen|Turkmen
Turkish|Turkish
Twi|Twi
Uighur|Uighur
Ukrainian|Ukrainian
Urdu|Urdu
Uzbek|Uzbek
Venda|Venda
Vietnamese|Vietnamese
Volapük|Volapük
Welsh|Welsh
Walloon|Walloon
Wolof|Wolof
Xhosa|Xhosa
Yiddish|Yiddish
Yoruba|Yoruba
Zhuang|Zhuang
Zulu|Zulu
