appareil|appareil
autocollant|autocollant
bande de microfilm|bande de microfilm
Bande magnétique audio|Bande magnétique audio
bande perforée pour instrument mécanique|bande perforée pour instrument mécanique
Bande TEFI|Bande TEFI
bande vidéo|bande vidéo
Blu-ray audio|Blu-ray audio
Blu-ray Disc|Blu-ray Disc
Blu-ray Disc propriétaire|Blu-ray Disc propriétaire
Blu-ray vidéo|Blu-ray vidéo
bobine de bande informatique|bobine de bande informatique
bobine de film|bobine de film
bobine de microfilm|bobine de microfilm
Bobine de piste sonore|Bobine de piste sonore
brochure|brochure
carte|carte
carte à fenêtre|carte à fenêtre
carte mémoire|carte mémoire
carte mémoire propriétaire|carte mémoire propriétaire
carte stéréoscopique|carte stéréoscopique
cartouche à puce informatique|cartouche à puce informatique
Cartouche audio|Cartouche audio
cartouche de bande informatique|cartouche de bande informatique
cartouche de disque informatique|cartouche de disque informatique
cartouche de disque optique|cartouche de disque optique
cartouche de film fixe|cartouche de film fixe
cartouche de jeu|cartouche de jeu
cartouche de microfilm|cartouche de microfilm
cartouche informatique|cartouche informatique
Cassette audio analogique|Cassette audio analogique
Cassette audio numérique|Cassette audio numérique
cassette DAT|cassette DAT
cassette de bande informatique|cassette de bande informatique
cassette de microfiches|cassette de microfiches
cassette de microfilm|cassette de microfilm
cassette vidéo|cassette vidéo
cassette vidéo numérique|cassette vidéo numérique
CD audio|CD audio
CD-Extra|CD-Extra
CD-I|CD-I
CD-Photo|CD-Photo
CD-ROM|CD-ROM
CD-ROM propriétaire|CD-ROM propriétaire
CDTV|CDTV
clé de licence de produit numérique|clé de licence de produit numérique
Cylindre phonographique|Cylindre phonographique
dépliant|dépliant
diapositive|diapositive
dispositif électronique autonome|dispositif électronique autonome
Disque audio|Disque audio
disque optique hybride|disque optique hybride
disque stéréoscopique|disque stéréoscopique
disque vidéo|disque vidéo
disquette|disquette
disquette propriétaire|disquette propriétaire
DVD audio|DVD audio
DVD vidéo|DVD vidéo
DVD-ROM|DVD-ROM
DVD-ROM propriétaire|DVD-ROM propriétaire
fascicule|fascicule
feuille|feuille
Feuille acoustique|Feuille acoustique
fiche|fiche
fil magnétique|fil magnétique
film fixe|film fixe
film fixe court|film fixe court
film ou transparent|film ou transparent
film photographique|film photographique
globe|globe
HD DVD|HD DVD
kit|kit
lame pour microscope|lame pour microscope
lecteur audio numérique préenregistré|lecteur audio numérique préenregistré
maquette|maquette
matrice|matrice
matrice de disque|matrice de disque
mémoire USB|mémoire USB
microfiche|microfiche
microfilm|microfilm
microforme|microforme
micro-opaque|micro-opaque
MiniDisc|MiniDisc
objet|objet
objet numismatique|objet numismatique
panneau|panneau
panneau dépliant|panneau dépliant
plaque|plaque
plaque de lanterne magique|plaque de lanterne magique
plaque photographique|plaque photographique
plaque stéréoscopique|plaque stéréoscopique
plateau de jeu|plateau de jeu
puce RFID|puce RFID
ressource dématérialisée|ressource dématérialisée
rouleau|rouleau
rouleau de film|rouleau de film
rouleau de film photographique|rouleau de film photographique
rouleau de microfilm|rouleau de microfilm
ruban métallique magnétique|ruban métallique magnétique
Support audio|Support audio
support numérique manipulable|support numérique manipulable
tableau à feuilles mobiles|tableau à feuilles mobiles
transparent|transparent
transparent pour rétroprojecteur|transparent pour rétroprojecteur
Vidéo|Vidéo
volume|volume
