Association|Association
Administration publique|Administration publique
Entreprise privée|Entreprise privée
Entreprise publique|Entreprise publique
Entreprise mixte|Entreprise mixte|Entreprise
Consultant individuel|Consultant individuel
Dirigeant d’entreprise|Dirigeant d’entreprise
Employé|Employé
Employeur|Employeur
Dirigeant de parti politique|Dirigeant de parti politique
Dirigeant d’assocation réligieuse|Dirigeant d’assocation réligieuse
Dirigeant d’assocation|Dirigeant d’assocation
Dirigeant politique|Dirigeant politique
Dirigeant d’une structure publique|Dirigeant d’une structure publique
Elu


